date,adult,medical,violence
2020-03-04,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2021-04-19,UNLIKELY,VERY_UNLIKELY,UNLIKELY
2024-07-08,UNLIKELY,POSSIBLE,POSSIBLE
2024-07-08,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2024-04-10,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2021-12-20,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-06-29,POSSIBLE,POSSIBLE,VERY_LIKELY
2024-07-08,UNLIKELY,POSSIBLE,VERY_LIKELY
2020-11-03,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-11-28,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2020-07-01,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-03-05,UNLIKELY,UNLIKELY,UNLIKELY
2021-11-14,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2020-04-07,POSSIBLE,UNLIKELY,UNLIKELY
2024-01-09,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
2017-11-27,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
2024-04-13,VERY_UNLIKELY,VERY_LIKELY,VERY_LIKELY
2022-04-29,VERY_UNLIKELY,UNLIKELY,UNLIKELY
2017-05-30,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2023-05-29,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-01-20,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-07-08,UNLIKELY,VERY_LIKELY,VERY_LIKELY
2020-10-24,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2024-05-03,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2018-01-29,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2022-03-12,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
2019-03-11,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY
