BS実況(無料),なんでも実況G,ニュース速報,ニュース速報+,ニュー速VIP,番組ch(NHK),番組ch(TBS),番組ch(フジ),番組ch(朝日),芸スポ速報+
23905.354838709678,0.0,45611.87096774193,163951.29032258064,106225.16129032258,47181.16129032258,30535.387096774193,25827.290322580644,33430.74193548387,42848.3870967742
21303.166666666668,0.0,44931.1,141840.66666666666,100933.56666666667,43622.63333333333,28182.566666666666,26289.666666666668,31076.866666666665,48403.566666666666
21980.225806451614,0.0,50678.8064516129,159253.4193548387,109073.2258064516,70081.6129032258,32385.354838709678,26839.967741935485,33779.77419354839,73392.7741935484
19671.645161290322,0.0,52627.06451612903,174114.16129032258,131241.64516129033,71852.96774193548,29414.774193548386,20889.483870967742,35310.903225806454,76682.6129032258
21180.0,0.0,46114.3870967742,147332.83870967742,111679.09677419355,45145.77419354839,26710.74193548387,26772.25806451613,32345.90322580645,49995.8064516129
20467.322580645163,0.0,43759.45161290323,133873.1935483871,106173.90322580645,45376.6129032258,25990.290322580644,25498.58064516129,33798.51612903226,50404.87096774193
19887.1,0.0,44970.1,110302.33333333333,106956.5,44357.333333333336,26576.333333333332,25758.833333333332,31366.566666666666,57412.86666666667
19148.90322580645,0.0,39464.25806451613,95371.54838709677,103526.58064516129,49110.06451612903,29540.83870967742,26105.8064516129,33335.67741935484,50435.06451612903
22551.387096774193,0.0,45054.51612903226,111200.74193548386,107375.67741935483,46893.83870967742,28857.548387096773,25672.290322580644,32782.22580645161,61222.83870967742
21708.071428571428,0.0,49362.46428571428,115206.67857142857,109785.07142857143,64786.46428571428,27955.25,24332.64285714286,32000.571428571428,72926.14285714286
22517.064516129034,244686.0,53600.967741935485,132852.96774193548,110561.6129032258,49328.48387096774,27175.09677419355,21870.74193548387,31665.290322580644,50097.77419354839
23194.333333333332,260390.33333333334,44615.96666666667,106727.96666666666,97256.0,49230.5,27268.2,21631.833333333332,28909.0,49064.73333333333
22703.709677419356,274826.32258064515,44535.967741935485,104459.3870967742,97338.74193548386,47415.903225806454,28876.451612903227,22374.774193548386,30688.064516129034,48938.74193548387
19441.466666666667,267713.5,39731.46666666667,92607.43333333333,88781.16666666667,41466.13333333333,28514.166666666668,20772.833333333332,29003.666666666668,40647.63333333333
20574.322580645163,297451.8387096774,45698.93548387097,114909.03225806452,108926.19354838709,47872.06451612903,35856.290322580644,24584.1935483871,30728.129032258064,36683.87096774193
