year_month,ita_name,responses
2013-01,BS実況(無料),13121.516129032258
2013-01,ニュース速報,31570.225806451614
2013-01,ニュース速報+,92346.67741935483
2013-01,ニュー速VIP,290018.0
2013-01,番組ch(NHK),49309.48387096774
2013-01,番組ch(TBS),32888.709677419356
2013-01,番組ch(フジ),36818.645161290326
2013-01,番組ch(朝日),43328.903225806454
2013-01,芸スポ速報+,39861.22580645161
2013-02,BS実況(無料),13369.75
2013-02,ニュース速報,31997.678571428572
2013-02,ニュース速報+,96169.35714285714
2013-02,ニュー速VIP,294257.5714285714
2013-02,番組ch(NHK),48421.42857142857
2013-02,番組ch(TBS),28396.285714285714
2013-02,番組ch(フジ),34092.142857142855
2013-02,番組ch(朝日),39858.78571428572
2013-02,芸スポ速報+,38768.82142857143
2013-03,BS実況(無料),12759.709677419354
2013-03,ニュース速報,32183.709677419356
2013-03,ニュース速報+,88975.67741935483
2013-03,ニュー速VIP,289698.29032258067
2013-03,番組ch(NHK),44600.93548387097
2013-03,番組ch(TBS),37079.16129032258
2013-03,番組ch(フジ),33601.967741935485
2013-03,番組ch(朝日),47643.22580645161
2013-03,芸スポ速報+,41824.06451612903
2013-04,BS実況(無料),13805.366666666667
2013-04,ニュース速報,27690.266666666666
2013-04,ニュース速報+,80338.86666666667
2013-04,ニュー速VIP,219743.16666666666
2013-04,番組ch(NHK),40419.933333333334
2013-04,番組ch(TBS),24321.766666666666
2013-04,番組ch(フジ),32876.86666666667
2013-04,番組ch(朝日),29491.433333333334
2013-04,芸スポ速報+,31649.933333333334
2013-05,BS実況(無料),10708.774193548386
2013-05,ニュース速報,19985.322580645163
2013-05,ニュース速報+,78193.45161290323
2013-05,ニュー速VIP,135171.70967741936
2013-05,番組ch(NHK),30541.83870967742
2013-05,番組ch(TBS),17587.451612903227
2013-05,番組ch(フジ),22608.322580645163
2013-05,番組ch(朝日),22571.032258064515
2013-05,芸スポ速報+,30099.129032258064
2013-06,BS実況(無料),12824.033333333333
2013-06,ニュース速報,26252.7
2013-06,ニュース速報+,72026.76666666666
2013-06,ニュー速VIP,195375.66666666666
2013-06,番組ch(NHK),38207.26666666667
2013-06,番組ch(TBS),24152.233333333334
2013-06,番組ch(フジ),34484.46666666667
2013-06,番組ch(朝日),31824.4
2013-06,芸スポ速報+,40728.63333333333
2013-07,BS実況(無料),12405.0
2013-07,ニュース速報,28081.612903225807
2013-07,ニュース速報+,70372.90322580645
2013-07,ニュー速VIP,173611.32258064515
2013-07,番組ch(NHK),38875.3870967742
2013-07,番組ch(TBS),21649.387096774193
2013-07,番組ch(フジ),30913.645161290322
2013-07,番組ch(朝日),26225.225806451614
2013-07,芸スポ速報+,31067.774193548386
